Evaluator,Customer,One-Way Miles,Round-Trip Miles,Drive Time (min), 2026 Cost , Bonus , Total 
Barnhart,A And G Industrial Services,144.19,288.39,287, $209.08 , $-   , $434.08 
Barnhart,AGI Construction,155.3,310.6,299.9, $225.19 , $-   , $450.19 
Barnhart,Atmospheric Corrosion Specialists,238.11,476.23,487.5, $345.27 , $-   , $820.27 
Barnhart,Avangrid Adams Ma,104.64,209.28,274.2, $151.73 , $-   , $376.73 
Barnhart,Avangrid East Hartford Ct,142.18,284.37,294.5, $206.17 , $-   , $431.17 
Barnhart,Avangrid Rochester Ny,350.68,701.35,724.5, $508.48 , $-   , $983.48 
Barnhart,Avangrid Trumbull,193.82,387.64,391.5, $281.04 , $-   , $506.04 
Barnhart,Bancker Construction,283.63,567.26,586.8, $411.26 , $-   , $886.26 
Barnhart,Barber Utilities,137.85,275.71,297.3, $199.89 , $-   , $424.89 
Barnhart,Bay State Piping Company Inc. (NGA),123.17,246.35,243.4, $178.60 , $-   , $403.60 
Barnhart,Berkshire Gas,124.38,248.76,300.1, $180.35 , $-   , $405.35 
Barnhart,Bermex Inc,347.72,695.44,722.6, $504.19 , $-   , $979.19 
Barnhart,Bond Civil Utility,90.3,180.59,169.5, $130.93 , $-   , $355.93 
Barnhart,Burns Construction Co. (Nga),196.4,392.8,397.5, $284.78 , $-   , $509.78 
Barnhart,Burrows Bros Inc.,331.16,662.33,720.9, $480.19 , $-   , $955.19 
Barnhart,C. B. Utility,182.1,364.19,368.7, $264.04 , $-   , $489.04 
Barnhart,Capstone Energy (Nga),562.27,1124.54,1098.4, $815.29 , $-   ," $1,540.29 "
Barnhart,Centerline Utility Services,203.11,406.22,368.3, $294.51 , $-   , $769.51 
Barnhart,Centuri,178.79,357.58,362.7, $259.25 , $-   , $484.25 
Barnhart,Certa Cote,277.26,554.53,582, $402.03 , $-   , $877.03 
Barnhart,Clarks Back Roads Enterprises (Nga),339.2,678.4,720.8, $491.84 , $-   , $966.84 
Barnhart,Collins Plumbing Corp (Nga),237.85,475.7,485, $344.88 , $-   , $819.88 
Barnhart,Composite Technology & Infrastructure,139.18,278.37,361.2, $201.82 , $-   , $426.82 
Barnhart,Con Edison (Nga),245.02,490.05,504, $355.29 , $-   , $830.29 
Barnhart,Corning Natural Gas,333.18,666.36,700.7, $483.11 , $-   , $958.11 
Barnhart,Corrtech Corrosion Engineering,122.32,244.64,234.4, $177.36 , $-   , $402.36 
Barnhart,D&G Contractors Inc,157.29,314.58,326.5, $228.07 , $-   , $453.07 
Barnhart,DDS Utilities Cortland,277.09,554.18,625.3, $401.78 , $-   , $876.78 
Barnhart,DDS Utilities West Henrietta,344.38,688.75,716.4, $499.34 , $-   , $974.34 
Barnhart,Dekatherm,238.4,476.8,530.8, $345.68 , $-   , $820.68 
Barnhart,Dte Vantage,307.34,614.68,675.3, $445.64 , $-   , $920.64 
Barnhart,E. Richards Consulting,196.4,392.8,397.5, $284.78 , $-   , $509.78 
Barnhart,E.E. Root,280.17,560.34,614.2, $406.25 , $-   , $881.25 
Barnhart,Elecnor Hawkeye,246.19,492.37,507.2, $356.97 , $-   , $831.97 
Barnhart,Encompass Pipeline,354.05,708.1,738.1, $513.37 , $-   , $988.37 
Barnhart,Enersite Utility And Site Work Services,67.18,134.36,132.1, $97.41 , $-   , $97.41 
Barnhart,Environmental Construction Inc,257.88,515.76,529.5, $373.93 , $-   , $848.93 
Barnhart,Eversource,125.17,250.35,248.6, $181.50 , $-   , $406.50 
