Evaluator,Customer,One-Way Miles,Round-Trip Miles,Drive Time (min),2026 Cost , Bonus , Total 
Barnhart,A And G Industrial Services,144,288,287,$209.08 , $-   ,$209.08 
Barnhart,AGI Construction,155,311,300,$225.19 , $-   ,$225.19 
Barnhart,Atmospheric Corrosion Specialists,238,476,488,$345.27 , $-   ,$345.27 
Barnhart,Avangrid Adams Ma,105,209,274,$151.73 , $-   ,$151.73 
Barnhart,Avangrid East Hartford Ct,142,284,295,$206.17 , $-   ,$206.17 
Barnhart,Avangrid Rochester Ny,351,701,725,$508.48 , $-   ,$508.48 
Barnhart,Avangrid Trumbull,194,388,392,$281.04 , $-   ,$281.04 
Barnhart,Bancker Construction,284,567,587,$411.26 , $-   ,$411.26 
Barnhart,Barber Utilities,138,276,297,$199.89 , $-   ,$199.89 
Barnhart,Bay State Piping Company Inc. (NGA),123,246,243,$178.60 , $-   ,$178.60 
Barnhart,Berkshire Gas,124,249,300,$180.35 , $-   ,$180.35 
Barnhart,Bermex Inc,348,695,723,$504.19 , $-   ,$504.19 
Barnhart,Bond Civil Utility,90,181,170,$130.93 , $-   ,$130.93 
Barnhart,Burns Construction Co. (Nga),196,393,398,$284.78 , $-   ,$284.78 
Barnhart,Burrows Bros Inc.,331,662,721,$480.19 , $-   ,$480.19 
Barnhart,C. B. Utility,182,364,369,$264.04 , $-   ,$264.04 
Barnhart,Capstone Energy (Nga),562,1125,1098,$815.29 , $-   ,$815.29 
Barnhart,Centerline Utility Services,203,406,368,$294.51 , $-   ,$294.51 
Barnhart,Centuri,179,358,363,$259.25 , $-   ,$259.25 
Barnhart,Certa Cote,277,555,582,$402.03 , $-   ,$402.03 
Barnhart,Clarks Back Roads Enterprises (Nga),339,678,721,$491.84 , $-   ,$491.84 
Barnhart,Collins Plumbing Corp (Nga),238,476,485,$344.88 , $-   ,$344.88 
Barnhart,Composite Technology & Infrastructure,139,278,361,$201.82 , $-   ,$201.82 
Barnhart,Con Edison (Nga),245,490,504,$355.29 , $-   ,$355.29 
Barnhart,Corning Natural Gas,333,666,701,$483.11 , $-   ,$483.11 
Barnhart,Corrtech Corrosion Engineering,122,245,234,$177.36 , $-   ,$177.36 
Barnhart,D&G Contractors Inc,157,315,327,$228.07 , $-   ,$228.07 
Barnhart,DDS Utilities Cortland,277,554,625,$401.78 , $-   ,$401.78 
Barnhart,DDS Utilities West Henrietta,344,689,716,$499.34 , $-   ,$499.34 
Barnhart,Dekatherm,238,477,531,$345.68 , $-   ,$345.68 
Barnhart,Dte Vantage,307,615,675,$445.64 , $-   ,$445.64 
Barnhart,E. Richards Consulting,196,393,398,$284.78 , $-   ,$284.78 
Barnhart,E.E. Root,280,560,614,$406.25 , $-   ,$406.25 
Barnhart,Elecnor Hawkeye,246,492,507,$356.97 , $-   ,$356.97 
Barnhart,Encompass Pipeline,354,708,738,$513.37 , $-   ,$513.37 
Barnhart,Enersite Utility And Site Work Services,67,134,132,$97.41 , $-   ,$97.41 
Barnhart,Environmental Construction Inc,258,516,530,$373.93 , $-   ,$373.93 
Barnhart,Eversource,125,250,249,$181.50 , $-   ,$181.50 
Barnhart,Feeney Brothers,110,221,217,$160.03 , $-   ,$160.03 
Barnhart,Ferreira Construction,165,329,319,$238.63 , $-   ,$238.63 
Barnhart,Frank Lill & Son,333,667,696,$483.35 , $-   ,$483.35 
Barnhart,Geary Mechanical,166,332,355,$240.48 , $-   ,$240.48 
Barnhart,Gianfia Corp,233,466,472,$337.73 , $-   ,$337.73 
Barnhart,GPL,151,301,289,$218.28 , $-   ,$218.28 
Barnhart,Grid One Solutions,370,740,751,$536.75 , $-   ,$536.75 
Barnhart,Grotto Plumbing Inc. (Nga),231,462,468,$335.10 , $-   ,$335.10 
Barnhart,Heath Consultants (Nga),255,510,543,$369.48 , $-   ,$369.48 
Barnhart,Henkels & Mccoy (Nga),355,709,710,$514.16 , $-   ,$514.16 
Barnhart,Holyoke Gas & Electric,108,216,234,$156.29 , $-   ,$156.29 
Barnhart,Infrasource (Nga),624,1248,1211,$904.82 , $-   ,$904.82 
Barnhart,Ironwood Heavy Highway,348,697,728,$505.09 , $-   ,$505.09 
Barnhart,J Mullen & Sons,170,340,412,$246.29 , $-   ,$246.29 
Barnhart,J. F. Brennan Companies,173,347,335,$251.42 , $-   ,$251.42 
Barnhart,Joe Knows Energy,266,531,557,$385.08 , $-   ,$385.08 
Barnhart,John Anderson Construction,479,957,986,$694.01 , $-   ,$694.01 
Barnhart,Js Rae,124,249,300,$180.43 , $-   ,$180.43 
Barnhart,Kiely Family Of Companies,311,621,646,$450.40 , $-   ,$450.40 
Barnhart,Kudlic Bros.,119,238,260,$172.62 , $-   ,$172.62 
Barnhart,Labella Associates Dpc,345,691,718,$500.71 , $-   ,$500.71 
Barnhart,Laydon Industries,182,364,369,$264.08 , $-   ,$264.08 
Barnhart,Ledge Creek Development Inc,395,790,811,$573.02 , $-   ,$573.02 
Barnhart,Liberty Underground,349,698,724,$506.02 , $-   ,$506.02 
Barnhart,Liberty Utilities-Ma,158,316,313,$229.06 , $-   ,$229.06 
Barnhart,Liberty Utilities-Ny,253,505,526,$366.39 , $-   ,$366.39 
Barnhart,Local 1049,226,452,592,$327.87 , $-   ,$327.87 
Barnhart,Local 1298,285,571,594,$413.96 , $-   ,$413.96 
Barnhart,Local 15,256,511,541,$370.56 , $-   ,$370.56 
Barnhart,Local 158,128,255,338,$185.12 , $-   ,$185.12 
Barnhart,Local 17,239,479,481,$347.03 , $-   ,$347.03 
Barnhart,Local 60,211,422,427,$306.28 , $-   ,$306.28 
Barnhart,Local 731,246,492,517,$357.01 , $-   ,$357.01 
Barnhart,Lospano Plumbing And Heating,236,472,482,$341.89 , $-   ,$341.89 
Barnhart,Maine Natural Gas (Nga),201,402,363,$291.52 , $-   ,$291.52 
Barnhart,Master Plumbers Council Of The City Of New York (Mpc),252,503,520,$364.99 , $-   ,$364.99 
Barnhart,Mears Construction (Nga),436,872,869,$631.95 , $-   ,$631.95 
Barnhart,Middleborough Gas & Electric (Nga),146,292,285,$211.42 , $-   ,$211.42 
Barnhart,Midway Utility,93,185,174,$134.20 , $-   ,$134.20 
Barnhart,Miller Pipeline,607,1214,1174,$880.01 , $-   ,$880.01 
Barnhart,Mirra Company,94,188,197,$136.39 , $-   ,$136.39 
Barnhart,Msr Utility Maintenance (Nga),80,159,153,$115.35 , $-   ,$115.35 
Barnhart,Mulcare Pipeline Solutions,277,554,570,$401.48 , $-   ,$401.48 
Barnhart,Mulholland Welding & Fabrication,36,72,114,$51.90 , $-   ,$51.90 
Barnhart,National Field Service Corporation (Nga),239,479,481,$347.03 , $-   ,$347.03 
Barnhart,National Fuel,406,812,826,$588.84 , $-   ,$588.84 
Barnhart,Network Infrastructure,265,530,553,$384.26 , $-   ,$384.26 
Barnhart,NEUCO,92,185,174,$133.81 , $-   ,$133.81 
Barnhart,New Jersey Natural Gas,324,649,664,$470.18 , $-   ,$470.18 
Barnhart,Ng Advantage,46,91,95,$66.11 , $-   ,$66.11 
Barnhart,Northeast Gas Association,119,237,230,$172.13 , $-   ,$172.13 
Barnhart,Northeast Underground (Nga),270,541,584,$391.92 , $-   ,$391.92 
Barnhart,Norwich Public Utilities,184,368,353,$267.07 , $-   ,$267.07 
Barnhart,Npl Construction (Nga),157,314,325,$227.93 , $-   ,$227.93 
Barnhart,Omark Consultants,119,237,232,$172.09 , $-   ,$172.09 
Barnhart,Orange & Rockland Utilities,262,525,522,$380.40 , $-   ,$380.40 
Barnhart,Parsons (Nga),307,614,614,$445.23 , $-   ,$445.23 
Barnhart,Pcm,263,525,577,$380.95 , $-   ,$380.95 
Barnhart,Pioneer Inspection,102,205,194,$148.35 , $-   ,$148.35 
Barnhart,Pl-Enerserv,118,235,251,$170.73 , $-   ,$170.73 
Barnhart,Powell Controls,100,200,190,$145.01 , $-   ,$145.01 
Barnhart,Power And Construction Group Inc.,350,700,725,$507.32 , $-   ,$507.32 
Barnhart,"Precision Pipeline Solutions, LLC (PPS)",245,489,499,$354.75 , $-   ,$354.75 
Barnhart,Premier Infrastructure & Energy,226,452,592,$327.87 , $-   ,$327.87 
Barnhart,Primoris Distribution Svcs (Nga),614,1228,1199,$890.26 , $-   ,$890.26 
Barnhart,Reconn,286,571,595,$414.22 , $-   ,$414.22 
Barnhart,Rev Lng,327,653,709,$473.66 , $-   ,$473.66 
Barnhart,Rh White,130,261,253,$189.17 , $-   ,$189.17 
Barnhart,Rhode Island Energy,149,298,286,$215.83 , $-   ,$215.83 
Barnhart,Riggs Distler & Co.,400,801,901,$580.52 , $-   ,$580.52 
Barnhart,Riley Brothers,126,252,256,$182.66 , $-   ,$182.66 
Barnhart,Rj Devco,123,246,243,$178.60 , $-   ,$178.60 
Barnhart,Rj Forbes Painting Contractor,143,287,285,$207.94 , $-   ,$207.94 
Barnhart,Safeway Construction Enterprises,254,507,532,$367.71 , $-   ,$367.71 
Barnhart,Sargis Associates,152,304,314,$220.09 , $-   ,$220.09 
Barnhart,Seaford Avenue Corp,270,541,570,$392.09 , $-   ,$392.09 
Barnhart,Shaun B. Kalba Enterprises,221,442,443,$320.46 , $-   ,$320.46 
Barnhart,Southern Cross (NGA),238,476,488,$345.27 , $-   ,$345.27 
Barnhart,Storti Quality Services,232,464,473,$336.24 , $-   ,$336.24 
Barnhart,Sullivan Trail,316,631,679,$457.61 , $-   ,$457.61 
Barnhart,T&K Harrington,244,487,555,$353.33 , $-   ,$353.33 
Barnhart,Tectonic Engineering Consultants,239,477,480,$346.13 , $-   ,$346.13 
Barnhart,Titanic Underground Contractors Corp. (Nga),203,406,480,$294.50 , $-   ,$294.50 
Barnhart,Tri-Mont Engineering,144,289,285,$209.49 , $-   ,$209.49 
Barnhart,Tucker Mechanical Inc,156,312,325,$226.13 , $-   ,$226.13 
Barnhart,Turner Underground Installations,348,697,729,$505.05 , $-   ,$505.05 
Barnhart,Ulc Technologies,278,556,577,$402.80 , $-   ,$402.80 
Barnhart,Unitil,86,171,166,$124.11 , $-   ,$124.11 
Barnhart,Usic (Nga),330,660,698,$478.56 , $-   ,$478.56 
Barnhart,Vermont Gas Systems,118,237,217,$171.50 , $-   ,$171.50 
Barnhart,Wdf,237,474,491,$343.89 , $-   ,$343.89 
Barnhart,Westfield Gas & Electric,118,235,251,$170.72 , $-   ,$170.72 
Barnhart,Whispering Pines Development,243,486,493,$352.33 , $-   ,$352.33 
Barnhart,Whitewater,130,261,252,$189.10 , $-   ,$189.10 
Barnhart,Wsm Construction,159,318,328,$230.23 , $-   ,$230.23 
Barnhart,Xpress Natural Gas,195,389,453,$282.38 , $-   ,$282.38 
Barnhart,Young Management & Consulting,252,503,520,$364.99 , $-   ,$364.99 
Buchinger,A And G Industrial Services,462,924,831,$669.76 , $-   ,$669.76 
Buchinger,AGI Construction,419,838,754,$607.46 , $-   ,$607.46 
Buchinger,Atmospheric Corrosion Specialists,292,585,537,$424.10 , $-   ,$424.10 
Buchinger,Avangrid Adams Ma,311,621,599,$450.49 , $-   ,$450.49 
Buchinger,Avangrid East Hartford Ct,358,715,658,$518.62 , $-   ,$518.62 
Buchinger,Avangrid Rochester Ny,53,105,97,$76.15 , $-   ,$76.15 
Buchinger,Avangrid Trumbull,326,651,619,$472.24 , $-   ,$472.24 
Buchinger,Bancker Construction,347,694,673,$503.07 , $-   ,$503.07 
Buchinger,Barber Utilities,372,744,673,$539.48 , $-   ,$539.48 
Buchinger,Bay State Piping Company Inc. (NGA),436,871,778,$631.83 , $-   ,$631.83 
Buchinger,Berkshire Gas,305,611,574,$442.84 , $-   ,$442.84 
Buchinger,Bermex Inc,56,111,103,$80.63 , $-   ,$80.63 
Buchinger,Bond Civil Utility,434,868,774,$629.00 , $-   ,$629.00 
Buchinger,Burns Construction Co. (Nga),337,674,628,$488.80 , $-   ,$488.80 
Buchinger,Burrows Bros Inc.,67,133,123,$96.48 , $-   ,$96.48 
Buchinger,C. B. Utility,333,666,646,$483.21 , $-   ,$483.21 
Buchinger,Capstone Energy (Nga),228,456,419,$330.26 , $-   ,$330.26 
Buchinger,Centerline Utility Services,587,1174,1045,$851.43 , $-   ,$851.43 
Buchinger,Centuri,333,667,637,$483.37 , $-   ,$483.37 
Buchinger,Certa Cote,341,681,668,$493.83 , $-   ,$493.83 
Buchinger,Clarks Back Roads Enterprises (Nga),56,111,113,$80.53 , $-   ,$80.53 
Buchinger,Collins Plumbing Corp (Nga),308,616,578,$446.90 , $-   ,$446.90 
Buchinger,Composite Technology & Infrastructure,277,554,489,$401.39 , $-   ,$401.39 
Buchinger,Con Edison (Nga),311,622,580,$451.03 , $-   ,$451.03 
Buchinger,Corning Natural Gas,48,97,90,$70.17 , $-   ,$70.17 
Buchinger,Corrtech Corrosion Engineering,407,814,720,$590.39 , $-   ,$590.39 
Buchinger,D&G Contractors Inc,343,686,635,$497.62 , $-   ,$497.62 
Buchinger,DDS Utilities Cortland,118,236,263,$170.85 , $-   ,$170.85 
Buchinger,DDS Utilities West Henrietta,44,87,84,$63.23 , $-   ,$63.23 
Buchinger,Dekatherm,153,306,276,$221.90 , $-   ,$221.90 
Buchinger,Dte Vantage,116,232,231,$168.39 , $-   ,$168.39 
Buchinger,E. Richards Consulting,337,674,628,$488.80 , $-   ,$488.80 
Buchinger,E.E. Root,104,208,192,$150.89 , $-   ,$150.89 
Buchinger,Elecnor Hawkeye,309,618,592,$448.01 , $-   ,$448.01 
Buchinger,Encompass Pipeline,40,79,95,$57.62 , $-   ,$57.62 
Buchinger,Enersite Utility And Site Work Services,454,907,811,$657.68 , $-   ,$657.68 
Buchinger,Environmental Construction Inc,275,550,510,$398.63 , $-   ,$398.63 
Buchinger,Eversource,399,797,714,$578.04 , $-   ,$578.04 
Buchinger,Feeney Brothers,436,871,784,$631.80 , $-   ,$631.80 
Buchinger,Ferreira Construction,437,873,781,$633.21 , $-   ,$633.21 
Buchinger,Frank Lill & Son,40,79,104,$57.43 , $-   ,$57.43 
Buchinger,Geary Mechanical,332,664,621,$481.58 , $-   ,$481.58 
Buchinger,Gianfia Corp,290,580,550,$420.77 , $-   ,$420.77 
Buchinger,GPL,412,825,733,$598.01 , $-   ,$598.01 
Buchinger,Grid One Solutions,304,608,562,$440.91 , $-   ,$440.91 
Buchinger,Grotto Plumbing Inc. (Nga),290,580,551,$420.80 , $-   ,$420.80 
Buchinger,Heath Consultants (Nga),303,606,592,$439.01 , $-   ,$439.01 
Buchinger,Henkels & Mccoy (Nga),252,504,480,$365.49 , $-   ,$365.49 
Buchinger,Holyoke Gas & Electric,348,697,619,$505.13 , $-   ,$505.13 
Buchinger,Infrasource (Nga),290,579,532,$419.79 , $-   ,$419.79 
Buchinger,Ironwood Heavy Highway,50,100,100,$72.76 , $-   ,$72.76 
Buchinger,J Mullen & Sons,260,520,526,$376.92 , $-   ,$376.92 
Buchinger,J. F. Brennan Companies,446,891,797,$646.00 , $-   ,$646.00 
Buchinger,Joe Knows Energy,292,584,539,$423.20 , $-   ,$423.20 
Buchinger,John Anderson Construction,119,237,252,$172.12 , $-   ,$172.12 
Buchinger,Js Rae,305,611,572,$442.65 , $-   ,$442.65 
Buchinger,Kiely Family Of Companies,331,662,616,$479.75 , $-   ,$479.75 
Buchinger,Kudlic Bros.,346,692,629,$502.05 , $-   ,$502.05 
Buchinger,Labella Associates Dpc,58,115,107,$83.39 , $-   ,$83.39 
Buchinger,Laydon Industries,333,666,645,$483.07 , $-   ,$483.07 
Buchinger,Ledge Creek Development Inc,70,141,175,$101.98 , $-   ,$101.98 
Buchinger,Liberty Underground,55,110,102,$80.02 , $-   ,$80.02 
Buchinger,Liberty Utilities-Ma,445,890,803,$645.09 , $-   ,$645.09 
Buchinger,Liberty Utilities-Ny,284,569,541,$412.32 , $-   ,$412.32 
Buchinger,Local 1049,352,705,684,$511.02 , $-   ,$511.02 
Buchinger,Local 1298,349,698,680,$505.76 , $-   ,$505.76 
Buchinger,Local 15,318,637,626,$461.61 , $-   ,$461.61 
Buchinger,Local 158,266,532,467,$385.69 , $-   ,$385.69 
Buchinger,Local 17,261,523,479,$378.83 , $-   ,$378.83 
Buchinger,Local 60,289,579,527,$419.75 , $-   ,$419.75 
Buchinger,Local 731,309,618,602,$448.06 , $-   ,$448.06 
Buchinger,Lospano Plumbing And Heating,308,615,578,$446.14 , $-   ,$446.14 
Buchinger,Maine Natural Gas (Nga),585,1170,1040,$848.43 , $-   ,$848.43 
Buchinger,Master Plumbers Council Of The City Of New York (Mpc),315,630,606,$456.79 , $-   ,$456.79 
Buchinger,Mears Construction (Nga),240,480,480,$347.72 , $-   ,$347.72 
Buchinger,Middleborough Gas & Electric (Nga),450,900,801,$652.41 , $-   ,$652.41 
Buchinger,Midway Utility,467,934,835,$677.36 , $-   ,$677.36 
Buchinger,Miller Pipeline,272,545,494,$394.98 , $-   ,$394.98 
Buchinger,Mirra Company,460,921,824,$667.55 , $-   ,$667.55 
Buchinger,Msr Utility Maintenance (Nga),443,885,788,$641.66 , $-   ,$641.66 
Buchinger,Mulcare Pipeline Solutions,274,549,517,$397.79 , $-   ,$397.79 
Buchinger,Mulholland Welding & Fabrication,350,700,674,$507.24 , $-   ,$507.24 
Buchinger,National Field Service Corporation (Nga),261,523,479,$378.83 , $-   ,$378.83 
Buchinger,National Fuel,71,143,176,$103.31 , $-   ,$103.31 
Buchinger,Network Infrastructure,328,657,639,$476.07 , $-   ,$476.07 
Buchinger,NEUCO,467,934,835,$676.97 , $-   ,$676.97 
Buchinger,New Jersey Natural Gas,345,689,634,$499.52 , $-   ,$499.52 
Buchinger,Ng Advantage,413,827,830,$599.23 , $-   ,$599.23 
Buchinger,Northeast Gas Association,408,816,725,$591.55 , $-   ,$591.55 
Buchinger,Northeast Underground (Nga),120,239,216,$173.43 , $-   ,$173.43 
Buchinger,Norwich Public Utilities,394,789,727,$571.99 , $-   ,$571.99 
Buchinger,Npl Construction (Nga),346,692,638,$501.40 , $-   ,$501.40 
Buchinger,Omark Consultants,403,805,722,$583.82 , $-   ,$583.82 
Buchinger,Orange & Rockland Utilities,248,495,452,$358.91 , $-   ,$358.91 
Buchinger,Parsons (Nga),289,578,527,$419.01 , $-   ,$419.01 
Buchinger,Pcm,327,654,634,$473.93 , $-   ,$473.93 
Buchinger,Pioneer Inspection,486,973,870,$705.27 , $-   ,$705.27 
Buchinger,Pl-Enerserv,339,678,598,$491.35 , $-   ,$491.35 
Buchinger,Powell Controls,443,885,793,$641.94 , $-   ,$641.94 
Buchinger,Power And Construction Group Inc.,37,73,85,$53.26 , $-   ,$53.26 
Buchinger,"Precision Pipeline Solutions, LLC (PPS)",264,528,488,$382.65 , $-   ,$382.65 
Buchinger,Premier Infrastructure & Energy,352,705,684,$511.02 , $-   ,$511.02 
Buchinger,Primoris Distribution Svcs (Nga),283,566,619,$409.99 , $-   ,$409.99 
Buchinger,Reconn,349,698,681,$506.02 , $-   ,$506.02 
Buchinger,Rev Lng,57,115,118,$83.35 , $-   ,$83.35 
Buchinger,Rh White,389,778,689,$564.14 , $-   ,$564.14 
Buchinger,Rhode Island Energy,420,840,749,$608.85 , $-   ,$608.85 
Buchinger,Riggs Distler & Co.,92,184,234,$133.04 , $-   ,$133.04 
Buchinger,Riley Brothers,440,880,794,$637.96 , $-   ,$637.96 
Buchinger,Rj Devco,436,871,778,$631.83 , $-   ,$631.83 
Buchinger,Rj Forbes Painting Contractor,431,862,775,$624.81 , $-   ,$624.81 
Buchinger,Safeway Construction Enterprises,304,609,594,$441.34 , $-   ,$441.34 
Buchinger,Sargis Associates,352,704,652,$510.13 , $-   ,$510.13 
Buchinger,Seaford Avenue Corp,334,667,656,$483.89 , $-   ,$483.89 
Buchinger,Shaun B. Kalba Enterprises,290,580,531,$420.15 , $-   ,$420.15 
Buchinger,Southern Cross (NGA),292,585,537,$424.10 , $-   ,$424.10 
